date,id,deptime,arrtime,price,direction
2023-08-30,1,12:25,13:30,81700,go
2023-08-30,1,12:25,13:30,88700,go
2023-08-30,1,14:00,15:05,73700,go
2023-08-30,1,14:00,15:05,88700,go
2023-08-30,2,14:20,15:25,72760,go
2023-08-30,2,14:20,15:25,78700,go
2023-08-30,5,14:20,15:25,80700,go
2023-08-30,3,14:50,15:50,77100,go
2023-08-30,1,16:00,17:05,73700,go
2023-08-30,1,16:00,17:05,88700,go
2023-08-30,2,16:40,17:40,71440,go
2023-08-30,2,16:40,17:40,78700,go
2023-08-30,5,16:40,17:40,80700,go
2023-08-30,1,17:20,18:25,73700,go
2023-08-30,1,17:20,18:25,88700,go
2023-08-30,3,18:20,19:20,77100,go
2023-08-30,2,19:00,20:00,49660,go
2023-08-30,2,19:00,20:00,78700,go
2023-08-30,5,19:00,20:00,80700,go
2023-08-30,1,19:25,20:35,50700,go
2023-08-30,1,19:25,20:35,58700,go
2023-08-30,1,19:25,20:35,88700,go
2023-08-30,4,19:40,20:40,46900,go
2023-08-30,4,19:40,20:40,78700,go
2023-08-30,0,19:45,20:45,44100,go
2023-08-30,0,19:45,20:45,78700,go
2023-08-30,4,20:05,21:05,78700,go
2023-08-31,0,06:20,07:20,44100,go
2023-08-31,0,06:20,07:20,78700,go
2023-08-31,0,06:20,07:20,106400,go
2023-08-31,1,07:00,08:05,50700,go
2023-08-31,1,07:00,08:05,58700,go
2023-08-31,1,07:00,08:05,88700,go
2023-08-31,2,07:20,08:25,50980,go
2023-08-31,2,07:20,08:25,78700,go
2023-08-31,5,07:20,08:25,80700,go
2023-08-31,1,08:05,09:10,73700,go
2023-08-31,1,08:05,09:10,88700,go
2023-08-31,3,08:30,09:30,77100,go
2023-08-31,2,08:40,09:40,71440,go
2023-08-31,2,08:40,09:40,78700,go
2023-08-31,5,08:40,09:40,80700,go
2023-08-31,1,09:00,10:05,73700,go
2023-08-31,1,09:00,10:05,88700,go
2023-08-31,2,09:40,10:40,71440,go
2023-08-31,2,09:40,10:40,78700,go
2023-08-31,5,09:40,10:40,80700,go
2023-08-31,1,10:25,11:30,73700,go
2023-08-31,1,10:25,11:30,88700,go
2023-08-31,2,11:00,12:00,72760,go
2023-08-31,2,11:00,12:00,78700,go
2023-08-31,5,11:00,12:00,80700,go
2023-08-31,3,11:40,12:40,77100,go
2023-08-31,1,12:25,13:30,73700,go
2023-08-31,1,12:25,13:30,88700,go
2023-08-31,1,14:00,15:05,73700,go
2023-08-31,1,14:00,15:05,88700,go
2023-08-31,2,14:20,15:25,72760,go
2023-08-31,2,14:20,15:25,78700,go
2023-08-31,5,14:20,15:25,80700,go
2023-08-31,3,14:50,15:50,77100,go
2023-08-31,1,16:00,17:05,73700,go
2023-08-31,1,16:00,17:05,88700,go
2023-08-31,2,16:40,17:40,71440,go
2023-08-31,2,16:40,17:40,78700,go
2023-08-31,5,16:40,17:40,80700,go
2023-08-31,1,17:20,18:25,73700,go
2023-08-31,1,17:20,18:25,88700,go
2023-08-31,3,18:20,19:20,77100,go
2023-08-31,2,19:00,20:00,51640,go
2023-08-31,2,19:00,20:00,78700,go
2023-08-31,5,19:00,20:00,80700,go
2023-08-31,1,19:25,20:35,58700,go
2023-08-31,1,19:25,20:35,88700,go
2023-08-31,4,19:40,20:40,48800,go
2023-08-31,4,19:40,20:40,78700,go
2023-08-31,0,19:45,20:45,52600,go
2023-08-31,0,19:45,20:45,78700,go
2023-08-31,4,20:05,21:05,49700,go
2023-08-31,4,20:05,21:05,78700,go
2023-08-31,2,20:20,21:35,52960,go
2023-08-31,2,20:20,21:35,78700,go
2023-08-31,5,20:20,21:35,80700,go
2023-08-01,2,07:00,08:00,78920,back
2023-08-01,2,07:00,08:00,98700,back
2023-08-01,4,07:15,08:15,68600,back
2023-08-01,4,07:15,08:15,100700,back
2023-08-01,0,07:30,08:25,60600,back
2023-08-01,0,07:30,08:25,98700,back
2023-08-01,4,08:00,09:05,68600,back
2023-08-01,2,08:00,09:00,77200,back
2023-08-01,2,08:00,09:00,98700,back
2023-08-01,4,08:00,09:05,100700,back
2023-08-01,1,08:45,09:45,91700,back
2023-08-01,1,08:45,09:45,110700,back
2023-08-01,1,08:45,09:45,170700,back
2023-08-01,2,09:00,10:00,97840,back
2023-08-01,2,09:00,10:00,98700,back
2023-08-01,2,10:20,11:20,81500,back
2023-08-01,2,10:20,11:20,98700,back
2023-08-01,1,10:45,11:45,91700,back
2023-08-01,1,10:45,11:45,110700,back
2023-08-01,2,11:20,12:20,78920,back
2023-08-01,2,11:20,12:20,98700,back
2023-08-01,1,12:10,13:15,81700,back
2023-08-01,1,12:10,13:15,110700,back
2023-08-01,1,12:10,13:15,170700,back
2023-08-01,2,12:40,13:40,77200,back
2023-08-01,2,12:40,13:40,98700,back
2023-08-01,3,13:15,14:15,78000,back
2023-08-01,3,13:15,14:15,98700,back
2023-08-01,2,14:00,15:00,77200,back
2023-08-01,2,14:00,15:00,98700,back
2023-08-01,1,14:00,15:05,101700,back
2023-08-01,1,14:00,15:05,110700,back
2023-08-01,2,15:00,16:00,89240,back
